brand,model,year,mileage,condition,color,owners_count,accident,month,price,days_to_sell,brand_encoded,model_encoded,color_encoded,age,mileage_per_year,is_premium_color,price_normalized
UAZ,Patriot,2025,17441,7,Белый,1,0,12,664000,60,14,38,0,1,8720.5,1,2.3264588880863313
BMW,3 Series,2019,73426,5,Красный,1,0,2,986000,36,0,1,1,7,9178.25,0,1.153774477582832
Kia,Sportage,2024,35044,5,Серебристый,1,0,10,1730000,49,7,50,2,2,11681.333333333334,1,1.9891272800339352
Haval,Jolion,2022,61939,3,Красный,2,1,11,647000,98,5,26,1,4,12387.8,0,1.0700017216103839
Lada,Granta,2017,79178,9,Серый,1,0,8,290000,41,8,23,3,9,7917.8,1,1.0237524515144911
Nissan,Juke,2018,183566,10,Белый,3,0,7,803000,21,11,27,0,8,20396.222222222223,1,0.900520624488585
Mercedes-Benz,GLE,2022,70639,7,Синий,1,0,8,1532000,29,10,22,4,4,14127.8,0,1.6871522762053233
Kia,K5,2019,146912,9,Серый,2,0,6,1105000,36,7,28,3,7,18364.0,1,1.2540137397047102
UAZ,Pickup,2022,53928,7,Серебристый,2,0,2,468000,46,14,39,2,4,10785.6,1,1.7869563675481421
Skoda,Octavia,2017,178890,3,Серебристый,1,0,1,563000,79,12,36,2,9,17889.0,1,0.6441284771848795
Chery,Tiggo 8,2014,117842,4,Белый,3,0,9,407000,71,2,54,0,12,9064.76923076923,1,0.496104804971084
Haval,F7,2022,90449,6,Черный,1,1,11,1098000,87,5,19,5,4,18089.8,1,1.3058773618771007
Toyota,Land Cruiser Prado,2015,176727,9,Красный,3,0,7,600000,39,13,32,1,11,14727.25,0,0.6404221887040725
Changan,Alsvin,2023,51966,6,Черный,1,0,2,674000,63,1,5,5,3,12991.5,1,1.8056100294158846
Lada,Largus,2024,53087,6,Серебристый,1,0,2,543000,55,8,33,2,2,17695.666666666668,1,1.9203232039346567
Geely,Atlas Pro,2014,142695,7,Серебристый,4,0,3,508000,52,4,7,2,12,10976.538461538461,1,0.6395048453297315
Skoda,Octavia,2019,188387,7,Красный,2,0,9,829000,69,12,36,1,7,23548.375,0,0.9484591608992277
Mercedes-Benz,E-Class,2018,89239,9,Синий,1,0,8,1094000,40,10,18,4,8,9915.444444444445,0,1.1991507833040793
Volkswagen,Polo,2012,153915,6,Черный,2,1,11,292000,63,15,40,5,14,10261.0,1,0.3194304195753026
Hyundai,Creta,2014,196667,4,Красный,3,0,12,385000,82,6,16,1,12,15128.23076923077,0,0.4523130574444275
Mazda,3,2019,148570,1,Серый,1,0,4,601000,52,9,0,3,7,18571.25,1,0.6648472012983705
Mercedes-Benz,GLE,2021,97017,5,Черный,1,0,3,1191000,38,10,22,5,5,16169.5,1,1.3116177290865143
Hyundai,Tucson,2013,135851,10,Серый,4,0,2,552000,45,6,56,3,13,9703.642857142857,1,0.6669393691482592
Nissan,X-Trail,2020,135335,7,Белый,1,1,10,1002000,53,11,61,0,6,19333.571428571428,1,1.2000821270916744
Volkswagen,Jetta,2018,87591,8,Синий,1,1,3,887000,26,15,25,4,8,9732.333333333334,0,1.0354476766150358
Volkswagen,Passat,2020,120398,10,Синий,2,1,10,1046000,53,15,37,4,6,17199.714285714286,0,1.2194660691907493
Mazda,3,2022,63308,5,Черный,1,0,7,1321000,39,9,0,5,4,12661.6,1,1.4613363609237062
Hyundai,Solaris,2024,35212,9,Красный,1,0,9,2034000,33,6,48,1,2,11737.333333333334,0,2.4962071920525597
Geely,Coolray,2011,162472,1,Синий,3,1,4,165000,78,4,14,4,15,10154.5,0,0.20841966847306342
UAZ,Profi,2016,234479,3,Синий,2,0,6,118000,61,14,41,4,10,21316.272727272728,0,0.4657099679018822
Toyota,Corolla,2015,159558,6,Синий,2,0,10,502000,42,13,15,4,11,13296.5,0,0.5957648469334025
Kia,K5,2014,212954,8,Красный,2,0,10,416000,36,7,28,1,12,16381.076923076924,0,0.4720992902417732
Geely,Tugella,2018,164658,7,Серебристый,1,0,3,744000,36,4,57,2,8,18295.333333333332,1,0.9219470176658153
Mazda,CX-30,2020,115948,3,Белый,1,1,11,707000,95,9,11,0,6,16564.0,1,0.8146981971218696
Skoda,Rapid,2021,75067,8,Красный,1,1,10,1115000,46,12,45,1,5,12511.166666666666,0,1.3125825143024792
Skoda,Kodiaq,2018,20958,1,Серебристый,3,0,12,671000,67,12,30,2,8,2328.6666666666665,1,0.8281879823766523
Geely,Coolray,2021,125022,5,Серебристый,2,1,3,817000,65,4,14,2,5,20837.0,1,1.0319931463181384
Lada,Granta,2022,87251,7,Серебристый,1,0,11,503000,69,8,23,2,4,17450.2,1,1.7756809762475483
Nissan,Juke,2019,81161,8,Белый,2,0,7,1196000,45,11,27,0,7,10145.125,1,1.3412486511685526
BMW,3 Series,2016,186436,8,Красный,2,0,2,592000,30,0,1,1,10,16948.727272727272,0,0.6927327492180898
Hyundai,Santa Fe,2025,15561,4,Черный,1,0,5,1786000,59,6,47,5,1,7780.5,1,2.070724637681159
Hyundai,Creta,2014,168826,10,Черный,4,0,7,588000,24,6,16,5,12,12986.615384615385,1,0.6908053968242166
Changan,UNI-K,2024,34330,6,Белый,1,0,2,1750000,62,1,58,0,2,11443.333333333334,1,2.1507877082718823
Mazda,6,2016,160607,2,Черный,1,0,3,475000,49,9,3,5,10,14600.636363636364,1,0.5596819039100931
Hyundai,Creta,2012,300514,3,Серебристый,2,1,6,197000,79,6,16,2,14,20034.266666666666,1,0.23144330471831745
Mazda,CX-5,2020,97163,10,Серебристый,2,1,2,1174000,44,9,12,2,6,13880.42857142857,1,1.478180603941486
Toyota,Corolla,2023,64204,10,Серый,1,0,2,1961000,31,13,15,3,3,16051.0,1,2.327280607243829
Exeed,RX,2023,49100,4,Красный,1,0,10,1286000,95,3,44,1,3,12275.0,0,1.6188622383219538
Volkswagen,Polo,2021,86072,6,Серебристый,1,1,6,1030000,57,15,40,2,5,14345.333333333334,1,1.126757986858088
Kia,Rio,2011,350000,1,Белый,3,0,11,191000,75,7,46,0,15,21875.0,1,0.2268650459481424
Mercedes-Benz,GLE,2014,189019,4,Черный,4,0,9,398000,61,10,22,5,12,14539.923076923076,1,0.4383071840272315
Hyundai,Solaris,2013,209965,9,Синий,4,0,12,375000,34,6,48,4,13,14997.5,0,0.46021519027517693
Mazda,CX-5,2022,58406,10,Белый,2,0,4,1667000,17,9,12,0,4,11681.2,1,2.0989157297874423
Volkswagen,Passat,2018,124856,7,Черный,2,0,8,940000,55,15,37,5,8,13872.888888888889,1,1.095887289712528
Volkswagen,Passat,2012,246254,6,Белый,2,0,8,297000,56,15,37,0,14,16416.933333333334,1,0.34625375004746894
Mazda,CX-5,2020,111195,3,Черный,2,0,4,923000,43,9,12,5,6,15885.0,1,1.1621471017359384
Mercedes-Benz,E-Class,2011,262570,1,Синий,4,0,2,162000,63,10,18,4,15,16410.625,0,0.1775707741272951
Lada,Granta,2022,74395,2,Серый,1,0,7,346000,66,8,23,3,4,14879.0,1,1.2214425800828066
UAZ,Patriot,2018,125962,7,Серый,3,0,9,287000,67,14,38,3,8,13995.777777777777,1,1.0055628025312908
Geely,Tugella,2016,186204,6,Белый,2,0,6,534000,52,4,57,0,10,16927.636363636364,1,0.6617200368730448
Toyota,RAV4,2022,35821,7,Черный,1,1,12,1327000,83,13,43,5,4,7164.2,1,1.5522196847323568
Kia,Rio,2025,10402,6,Серый,1,1,3,1541000,49,7,46,3,1,5201.0,1,1.830361444010929
Haval,Jolion,2023,54443,1,Серебристый,1,0,11,787000,81,5,26,2,3,13610.75,1,1.3015322332416879
Skoda,Kodiaq,2025,12916,2,Синий,1,0,5,1566000,61,12,30,4,1,6458.0,0,1.9328500453082524
Haval,Dargo,2020,124532,2,Серый,2,0,4,713000,65,5,17,3,6,17790.285714285714,1,0.8823940372631134
Toyota,Camry,2024,24782,7,Красный,1,0,12,1994000,59,13,13,1,2,8260.666666666666,0,2.256324403433936
UAZ,Pickup,2017,134819,7,Синий,3,0,11,247000,51,14,39,4,9,13481.9,0,0.9431158606504084
Volkswagen,Jetta,2012,294541,7,Серебристый,4,1,4,265000,57,15,25,2,14,19636.066666666666,1,0.30935020778239514
Volkswagen,Jetta,2022,76184,6,Синий,1,1,7,1122000,44,15,25,4,4,15236.8,0,1.3097771061579147
Volkswagen,Polo,2014,50146,4,Черный,4,1,5,397000,51,15,40,5,12,3857.3846153846152,1,0.4342940978472436
UAZ,Pickup,2018,102784,3,Синий,3,1,11,170000,84,14,39,4,8,11420.444444444445,0,0.649108082229026
BMW,5 Series,2025,13000,4,Синий,1,1,2,1391000,63,0,2,4,1,6500.0,0,1.6091071616363446
Mazda,6,2025,17072,7,Серебристый,1,1,11,1903000,51,9,3,2,1,8536.0,1,2.2422624487176996
Geely,Coolray,2013,272654,3,Красный,1,0,11,242000,64,4,14,1,13,19475.285714285714,0,0.3056821804271597
Chery,Tiggo 8,2025,15345,2,Серебристый,1,0,8,1539000,83,2,54,2,1,7672.5,1,1.8759343853820596
Haval,Jolion,2025,14104,5,Серебристый,1,0,5,1309000,43,5,26,2,1,7052.0,1,2.164810283752693
Mercedes-Benz,E-Class,2015,163793,1,Синий,3,0,8,372000,84,10,18,4,11,13649.416666666666,0,0.40775511095897393
Nissan,X-Trail,2020,120115,1,Серебристый,2,1,11,621000,98,11,61,2,6,17159.285714285714,1,0.7437634739759779
Mercedes-Benz,GLC,2022,43447,10,Черный,2,0,3,1703000,13,10,21,5,4,8689.4,1,2.0550108643807303
Mercedes-Benz,C-Class,2022,93287,6,Серый,1,1,8,1190000,63,10,8,3,4,18657.4,1,1.443018825638727
UAZ,Patriot,2018,159778,7,Белый,1,1,10,220000,55,14,38,0,8,17753.11111111111,1,0.7708146918358326
Geely,Monjaro,2024,30046,10,Синий,1,0,7,2128000,46,4,34,4,2,10015.333333333334,0,2.5938951637163474
Mercedes-Benz,E-Class,2020,127327,6,Серый,1,0,5,1115000,29,10,18,3,6,18189.571428571428,1,1.2221692169872471
Chery,Tiggo 4,2024,26344,8,Белый,1,1,4,857000,40,2,52,0,2,8781.333333333334,1,1.8551842806394316
Hyundai,Tucson,2017,228145,2,Черный,2,0,3,390000,49,6,56,5,9,22814.5,1,0.47120716298518317
Chery,Tiggo 8,2022,67166,9,Черный,1,0,2,1514000,28,2,54,5,4,13433.2,1,1.8454611172634428
Hyundai,Solaris,2011,211632,1,Черный,2,0,10,217000,58,6,48,5,15,13227.0,1,0.2663111901059024
Chery,Tiggo 7 Pro,2013,279311,5,Красный,2,0,7,294000,51,2,53,1,13,19950.785714285714,0,0.36041779041828076
Skoda,Octavia,2023,49578,1,Черный,1,1,9,927000,64,12,36,5,3,12394.5,1,1.060580991741356
Haval,Dargo,2022,79590,5,Синий,2,0,3,1273000,41,5,17,4,4,15918.0,0,1.5754384424066525
Kia,Sorento,2024,39465,6,Красный,1,0,6,1895000,45,7,49,1,2,13155.0,0,2.143254971639445
Chery,Tiggo 7 Pro,2012,190258,2,Синий,2,1,6,199000,97,2,53,4,14,12683.866666666667,0,0.2439562595008091
Hyundai,Tucson,2014,163478,6,Белый,4,0,1,489000,70,6,56,0,12,12575.23076923077,1,0.5908212889737297
Chery,Arrizo 8,2022,58580,9,Серый,2,0,4,1475000,30,2,6,3,4,11716.0,1,1.7641616019947015
Exeed,TX,2015,100034,4,Синий,3,0,8,476000,69,3,51,4,11,8336.166666666666,0,0.5898673876657654
Hyundai,Creta,2024,36163,6,Белый,1,1,4,1457000,61,6,16,0,2,12054.333333333334,1,1.711740583627353
Toyota,RAV4,2018,146251,2,Белый,3,1,5,473000,64,13,43,0,8,16250.111111111111,1,0.5532780036762658
Hyundai,Tucson,2022,73794,5,Синий,2,1,2,1094000,52,6,56,4,4,14758.8,0,1.3217965033481804
UAZ,Pickup,2017,167506,1,Серый,3,1,3,118000,75,14,39,3,9,16750.6,1,0.45055737472367685
Haval,Dargo,2025,10877,1,Красный,1,0,1,1356000,88,5,17,1,1,5438.5,0,1.6781575238832844
Lada,Niva Travel,2025,15950,6,Синий,1,0,2,625000,57,8,35,4,1,7975.0,0,2.2072698904667023
Kia,K5,2024,32928,5,Белый,1,0,1,1769000,63,7,28,0,2,10976.0,1,2.0075568375906174
Toyota,Land Cruiser Prado,2024,31002,7,Черный,1,1,11,1739000,81,13,32,5,2,10334.0,1,1.8561569769273034
Volkswagen,Polo,2011,223473,8,Красный,3,0,4,295000,28,15,40,1,15,13967.0625,0,0.3227122389545009
Chery,Tiggo 8,2023,60580,2,Синий,1,0,1,1123000,80,2,54,4,3,15145.0,0,1.3688592038882736
Skoda,Kodiaq,2016,155479,7,Черный,2,1,1,527000,69,12,30,5,10,14134.454545454546,1,0.6504546448770427
Toyota,Camry,2016,214090,5,Синий,1,1,10,382000,66,13,13,4,10,19462.727272727272,0,0.4322547252315765
BMW,3 Series,2011,186500,7,Красный,3,1,9,271000,49,0,1,1,15,11656.25,0,0.3171124578346323
Changan,CS35 Plus,2023,68468,8,Белый,1,0,11,1626000,49,1,9,0,3,17117.0,1,1.9495282127928655
BMW,X3,2011,181905,4,Красный,4,0,8,264000,81,0,62,1,15,11369.0625,0,0.30034357484698404
Exeed,LX,2015,155500,10,Синий,3,0,1,631000,50,3,31,4,11,12958.333333333334,0,0.8009113797623755
Nissan,Qashqai,2020,115226,9,Серебристый,1,0,4,1361000,22,11,42,2,6,16460.85714285714,1,1.6084126324217787
Lada,Vesta,2024,36551,10,Серебристый,1,0,1,664000,44,8,60,2,2,12183.666666666666,1,2.3392125259037533
Chery,Tiggo 7 Pro,2023,14849,8,Серый,1,1,7,1356000,65,2,53,3,3,3712.25,1,1.662335114990438
Haval,F7,2014,317690,9,Синий,3,0,3,370000,23,5,19,4,12,24437.69230769231,0,0.44004974853782086
Chery,Arrizo 8,2025,20344,6,Красный,1,0,9,1910000,40,2,6,1,1,10172.0,0,2.2844397693626304
UAZ,Pickup,2013,204061,2,Красный,3,0,12,83000,84,14,39,1,13,14575.785714285714,0,0.31691747544123033
Changan,UNI-K,2016,210931,1,Синий,1,0,5,343000,44,1,58,4,10,19175.545454545456,0,0.4215543908212889
Mercedes-Benz,E-Class,2014,177533,5,Белый,1,0,7,440000,43,10,18,0,12,13656.384615384615,1,0.4822909914568509
Mazda,CX-30,2013,329933,2,Серебристый,2,1,7,190000,84,9,11,2,13,23566.64285714286,1,0.21894293840616016
Haval,Dargo,2019,73913,1,Серебристый,1,0,9,719000,72,5,17,2,7,9239.125,1,0.8898195130325084
Nissan,Juke,2014,77969,3,Черный,3,1,7,372000,83,11,27,5,12,5997.615384615385,1,0.41717767410928225
Toyota,RAV4,2014,174277,8,Серый,2,1,3,445000,36,13,43,3,12,13405.923076923076,1,0.5205258174121317
Geely,Atlas Pro,2023,63204,1,Серебристый,1,1,11,841000,96,4,7,2,3,15801.0,1,1.058707824650205
Changan,UNI-K,2023,63671,9,Черный,1,1,9,1489000,66,1,58,5,3,15917.75,1,1.8300130843524758
Hyundai,Creta,2015,226624,6,Красный,3,0,10,431000,46,6,16,1,11,18885.333333333332,0,0.5063556565157098
UAZ,Hunter,2017,205745,4,Синий,3,0,1,154000,79,14,24,4,9,20574.5,0,0.5862684024172723
Volkswagen,Tiguan,2012,141607,10,Черный,4,1,11,384000,48,15,55,5,14,9440.466666666667,1,0.4279555789677378
Exeed,TX,2011,339584,9,Серый,4,0,10,256000,53,3,51,3,15,21224.0,1,0.3172396034504957
Hyundai,Creta,2025,20772,8,Серебристый,1,0,7,2259000,20,6,16,2,1,10386.0,1,2.6539615500440563
Mazda,6,2013,218044,5,Черный,4,0,11,330000,61,9,3,5,13,15574.57142857143,1,0.3888316385059594
Nissan,X-Trail,2014,99862,2,Синий,2,1,11,317000,97,11,61,4,12,7681.692307692308,0,0.3796667008862882
UAZ,Patriot,2013,173728,3,Синий,3,1,5,78000,70,14,38,4,13,12409.142857142857,0,0.2732888452872498
Volkswagen,Jetta,2019,160185,2,Синий,2,0,10,669000,69,15,25,4,7,20023.125,0,0.7809633547412165
Geely,Atlas Pro,2019,104847,10,Серый,2,0,5,1103000,20,4,7,3,7,13105.875,1,1.3885311897612085
Skoda,Octavia,2013,186848,4,Серебристый,2,0,4,336000,48,12,36,2,13,13346.285714285714,1,0.3844177057444397
BMW,3 Series,2013,273417,5,Красный,1,1,12,235000,70,0,1,1,13,19529.785714285714,0,0.2749868176794782
Haval,Dargo,2017,201675,5,Красный,3,1,7,390000,61,5,17,1,9,20167.5,0,0.4826559250106791
Lada,Granta,2019,97441,9,Белый,2,0,5,359000,36,8,23,0,7,12180.125,1,1.2673349313575941
Toyota,Corolla,2022,95888,5,Белый,2,0,5,1423000,31,13,15,0,4,19177.6,1,1.6887915880203819
Hyundai,Tucson,2018,116909,6,Серебристый,3,0,1,800000,72,6,56,2,8,12989.888888888889,1,0.9665787958670424
Haval,F7,2018,147782,5,Серебристый,1,0,5,734000,38,5,19,2,8,16420.222222222223,1,0.8729635552074608
Lada,Largus,2019,129208,6,Красный,2,1,11,219000,68,8,33,1,7,16151.0,0,0.7744949938520992
Changan,CS55,2025,7483,5,Серебристый,1,1,3,1498000,63,1,10,2,1,3741.5,1,1.7720774666882453
Mercedes-Benz,C-Class,2021,78462,9,Белый,1,0,8,1527000,42,10,8,0,5,13077.0,1,1.8516720560927196
Haval,F7x,2021,19986,8,Синий,2,0,3,1346000,21,5,20,4,5,3331.0,0,1.677975193006988
Geely,Coolray,2020,81463,9,Красный,1,1,2,1015000,70,4,14,1,6,11637.57142857143,0,1.2820967484858143
UAZ,Hunter,2012,172753,5,Серый,4,0,7,105000,43,14,24,3,14,11516.866666666667,1,0.39972845619359476
Mazda,3,2015,219558,8,Серебристый,1,0,8,481000,32,9,0,2,11,18296.5,1,0.5320990080274812
Mercedes-Benz,C-Class,2015,275285,9,Красный,3,0,5,490000,27,10,8,1,11,22940.416666666668,0,0.5941842223218288
Volkswagen,Polo,2016,177837,7,Серый,3,0,7,556000,31,15,40,3,10,16167.0,1,0.6082305249447543
Lada,Vesta,2015,204625,2,Красный,1,1,8,90000,74,8,60,1,11,17052.083333333332,0,0.31706193875201477
Lada,Granta,2014,263988,4,Красный,2,1,1,78000,93,8,23,1,12,20306.76923076923,0,0.2753541076487252
Skoda,Kodiaq,2012,193181,8,Белый,2,1,6,344000,50,12,30,0,14,12878.733333333334,1,0.42458519513795584
BMW,X3,2019,89907,6,Синий,2,1,9,741000,37,0,62,4,7,11238.375,0,0.8430098066727847
BMW,5 Series,2012,172783,1,Белый,4,1,4,205000,69,0,2,0,14,11518.866666666667,1,0.23714375854453676
Lada,Niva Travel,2014,208473,4,Черный,4,0,11,115000,74,8,35,5,12,16036.384615384615,1,0.40613765984587324
BMW,X5,2023,67455,4,Серебристый,1,0,6,1412000,76,0,63,2,3,16863.75,1,1.6568866852597872
BMW,X5,2025,14636,2,Черный,1,1,10,1273000,77,0,63,5,1,7318.0,1,1.4937795682264228
Toyota,Corolla,2022,90663,2,Серый,1,0,2,1124000,56,13,15,3,4,18132.6,1,1.3339436015002877
Kia,Rio,2012,303727,4,Черный,4,0,11,233000,83,7,46,5,14,20248.466666666667,1,0.27675160055454023
UAZ,Pickup,2012,260821,5,Синий,3,0,11,80000,63,14,39,4,14,17388.066666666666,0,0.3054626269313064
Chery,Tiggo 7 Pro,2021,99245,8,Синий,2,0,7,1346000,47,2,53,4,5,16540.833333333332,0,1.6500760064728093
Volkswagen,Passat,2024,34927,1,Синий,1,0,6,1266000,56,15,37,4,2,11642.333333333334,0,1.4759503284851707
Kia,Sportage,2022,27808,2,Серый,1,0,4,1184000,59,7,50,3,4,5561.6,1,1.3613449130405662
Kia,Sorento,2021,114273,7,Черный,1,1,10,1104000,66,7,49,5,5,19045.5,1,1.2486298093350647
Haval,Jolion,2016,96336,8,Синий,2,0,4,503000,24,5,26,4,10,8757.818181818182,0,0.8318560525038997
Exeed,VX,2016,171887,9,Черный,2,0,5,642000,26,3,59,5,10,15626.09090909091,1,0.8163674738781204
Exeed,TX,2014,126454,7,Черный,1,0,5,508000,44,3,51,5,12,9727.23076923077,1,0.6295223380970774
BMW,5 Series,2011,183263,8,Серый,4,1,1,270000,51,0,2,3,15,11453.9375,1,0.31233568198548745
Hyundai,Solaris,2014,248518,1,Черный,4,1,11,192000,83,6,48,5,12,19116.76923076923,1,0.2356301774208906
Mazda,6,2013,159794,8,Красный,2,0,5,491000,30,9,3,1,13,11413.857142857143,0,0.57853434698917
UAZ,Profi,2011,350000,4,Черный,1,0,2,75000,64,14,41,5,15,21875.0,1,0.2960020982427217
BMW,X3,2013,223946,10,Серебристый,1,0,4,403000,20,0,62,2,13,15996.142857142857,1,0.45847901766414606
Mazda,3,2014,281069,4,Белый,1,0,1,343000,78,9,0,0,12,21620.69230769231,1,0.37943858576595857
Nissan,Qashqai,2019,88910,2,Серый,2,0,7,752000,69,11,42,3,7,11113.75,1,0.8887041143138704
Haval,Jolion,2019,124110,10,Красный,2,1,3,671000,52,5,26,1,7,15513.75,0,1.1096926664614646
Mercedes-Benz,C-Class,2025,9604,7,Серый,1,1,11,1825000,68,10,8,3,1,4802.0,1,2.213033072933342
Mercedes-Benz,E-Class,2019,72301,8,Серый,1,0,4,1165000,34,10,18,3,7,9037.625,1,1.2769750114709801
Exeed,TX,2025,16069,8,Серебристый,1,0,4,2254000,36,3,51,2,1,8034.5,1,2.7931955710055365
BMW,5 Series,2016,168922,3,Красный,1,1,1,375000,83,0,2,1,10,15356.545454545454,0,0.433799558313177
Changan,CS35 Plus,2023,71686,2,Серый,1,0,9,1151000,54,1,9,3,3,17921.5,1,1.3800165885145068
UAZ,Patriot,2024,55515,7,Серебристый,1,1,5,511000,60,14,38,2,2,18505.0,1,1.7903923069459569
Geely,Tugella,2019,117960,3,Синий,1,0,1,767000,96,4,57,4,7,14745.0,0,0.9504480679431188
Nissan,Qashqai,2012,243240,9,Белый,4,0,9,321000,28,11,42,0,14,16216.0,1,0.37935375092387286
Nissan,Juke,2022,71180,6,Белый,2,0,4,1349000,26,11,27,0,4,14236.0,1,1.5128297913264024
Skoda,Octavia,2017,137000,10,Красный,3,1,9,768000,56,12,36,1,9,13700.0,0,0.8786690417015764
Toyota,Land Cruiser Prado,2015,255308,2,Серый,1,0,12,301000,87,13,32,3,11,21275.666666666668,1,0.32127846466654303
Volkswagen,Tiguan,2013,315364,7,Белый,2,1,3,281000,36,15,55,0,13,22526.0,1,0.3131654106508706
BMW,5 Series,2018,186349,6,Серебристый,2,0,8,730000,54,0,2,2,8,20705.444444444445,1,0.8444631401829846
UAZ,Pickup,2017,214087,2,Черный,2,0,10,145000,59,14,39,5,9,21408.7,1,0.5536510113129928
Kia,Rio,2019,182453,2,Серый,1,0,4,656000,50,7,46,3,7,22806.625,1,0.7791804719475467
Nissan,X-Trail,2012,212331,7,Синий,1,1,10,265000,62,11,61,4,14,14155.4,0,0.31738698969989393
Volkswagen,Tiguan,2015,105912,4,Синий,1,0,2,573000,65,15,55,4,11,8826.0,0,0.6385899654909212
Hyundai,Tucson,2011,316701,7,Синий,1,1,6,232000,84,6,56,4,15,19793.8125,0,0.28030785080144227
Toyota,RAV4,2023,72278,1,Серебристый,1,0,4,1157000,59,13,43,2,3,18069.5,1,1.3533671252715425
Volkswagen,Jetta,2012,312838,3,Красный,3,1,4,194000,60,15,25,1,14,20855.866666666665,0,0.22646769928220628
Mercedes-Benz,E-Class,2015,201267,9,Серый,1,1,8,454000,59,10,18,3,11,16772.25,1,0.49763661391229613
Nissan,Juke,2013,148473,9,Черный,1,1,11,436000,58,11,27,5,13,10605.214285714286,1,0.4889501771818469
Skoda,Octavia,2019,155214,8,Красный,1,0,9,907000,45,12,36,1,7,19401.75,0,1.037698985447044
Hyundai,Tucson,2024,44660,8,Синий,1,0,10,2098000,38,6,56,4,2,14886.666666666666,0,2.5348528921613185
UAZ,Profi,2017,153363,2,Красный,2,0,1,175000,87,14,41,1,9,15336.3,0,0.6906715625663506
Hyundai,Tucson,2020,89557,4,Белый,1,1,8,816000,81,6,56,0,6,12793.857142857143,1,0.9859103717843832
Hyundai,Creta,2014,302904,2,Синий,4,0,9,274000,69,6,16,4,12,23300.30769230769,0,0.32190591620720294
Skoda,Kodiaq,2019,123931,10,Белый,2,1,12,921000,54,12,30,0,7,15491.375,1,1.1367528044245852
Hyundai,Tucson,2020,126616,5,Черный,1,0,5,1028000,34,6,56,5,6,18088.0,1,1.2420537526891495
UAZ,Pickup,2022,69644,9,Черный,1,0,10,551000,27,14,39,5,4,13928.8,1,2.1038738429893726
Hyundai,Solaris,2016,240921,8,Синий,1,0,8,531000,44,6,48,4,10,21901.909090909092,0,0.6516647094296505
Exeed,VX,2015,164262,6,Черный,2,0,4,466000,58,3,59,5,11,13688.5,1,0.592565798796268
Geely,Monjaro,2024,33724,8,Черный,1,0,11,2017000,50,4,34,5,2,11241.333333333334,1,2.4585933013232486
Mazda,CX-30,2015,219608,9,Красный,1,0,6,477000,39,9,11,1,11,18300.666666666668,0,0.549662008524939
Skoda,Kodiaq,2022,53873,9,Белый,1,1,3,1407000,34,12,30,0,4,10774.6,1,1.736602818485767
UAZ,Patriot,2014,151800,7,Серебристый,1,0,3,172000,49,14,38,2,12,11676.923076923076,1,0.6026369408898328
Chery,Tiggo 7 Pro,2013,246988,7,Черный,3,0,4,293000,29,2,53,5,13,17642.0,1,0.35919187956651794
Geely,Monjaro,2013,224878,6,Синий,1,1,5,254000,43,4,34,4,13,16062.714285714286,0,0.3096096670977219
Chery,Tiggo 7 Pro,2021,96304,3,Серый,2,1,12,821000,100,2,53,3,5,16050.666666666666,1,1.0064728092973079
Changan,CS35 Plus,2019,152630,8,Синий,2,0,11,916000,54,1,9,4,7,19078.75,0,1.0982582059767927
Skoda,Kodiaq,2018,130001,6,Серый,1,1,9,690000,70,12,30,3,8,14444.555555555555,1,0.8516389088522951
Mazda,CX-30,2024,32719,3,Серебристый,1,0,2,1553000,50,9,11,2,2,10906.333333333334,1,1.789570438656667
Volkswagen,Jetta,2024,24421,9,Серый,1,0,5,2063000,26,15,25,3,2,8140.333333333333,1,2.40826218360408
Hyundai,Creta,2012,229396,3,Белый,1,0,11,259000,64,6,16,0,14,15293.066666666668,1,0.30428332955352394
Nissan,Juke,2024,35518,1,Белый,1,0,10,1358000,67,11,27,0,2,11839.333333333334,1,1.522922799570982
Kia,K5,2025,11576,7,Синий,1,0,10,2010000,37,7,28,4,1,5788.0,0,2.2810566667931833
UAZ,Profi,2016,209751,1,Синий,3,1,7,96000,91,14,41,4,10,19068.272727272728,0,0.3788826857506838
Exeed,RX,2025,18584,10,Белый,1,0,3,2327000,27,3,44,0,1,9292.0,1,2.929309820042913
Volkswagen,Passat,2020,107331,3,Серый,2,1,3,704000,72,15,37,3,6,15333.0,1,0.8207496297421486
Skoda,Octavia,2017,159205,3,Черный,2,0,12,597000,76,12,36,5,9,15920.5,1,0.6830278878852097
Chery,Tiggo 4,2022,54275,8,Серый,2,0,12,845000,58,2,52,3,4,10855.0,1,1.8292073712255774
Toyota,Corolla,2014,202841,2,Белый,3,1,2,237000,79,13,15,0,12,15603.153846153846,1,0.28126746757612825
Hyundai,Santa Fe,2025,21909,3,Черный,1,1,4,1345000,79,6,47,5,1,10954.5,1,1.5594202898550724
Lada,Vesta,2025,19216,10,Красный,1,0,7,794000,43,8,60,1,1,9608.0,0,2.7971908818788855
Volkswagen,Tiguan,2021,79337,7,Белый,2,0,4,1399000,30,15,55,0,5,13222.833333333334,1,1.559140247332982
Kia,Sorento,2017,73315,3,Серый,1,0,9,637000,76,7,49,3,9,7331.5,1,0.7204503519442357
UAZ,Patriot,2013,175198,2,Черный,2,0,1,106000,90,14,38,5,13,12514.142857142857,1,0.371392533339083
